Name	m1	m2	Pbin	abin	ebin	mp	Ppâ€‹	ap	ep	Prot	dProt
16b	0.6897	0.2026	41.07	0.22431	0.15944	0.333	228.776	0.7048	0.0069	35.1	1
34b	1.05	1.0185	28	0.23	0.52	0.22	288	1.09	0.18	16	1.5
35b	0.8877	0.8094	20.73	0.176	0.1421	0.127	131.458	0.60347	0.042	20.734	0.1
38b	0.949	0.2492	18.6	0.1469	0.1032	0.34	105.6	0.46	0.03	18.79	
47b	1.043	0.362	7.448	0.08145	0.0288	0.0063	49.4643	0.2877	0.021	7.775	0.022
47d	1.043	0.362	7.448	0.08145	0.0288	0.0598	187.366	0.6992	0.024	7.775	0.022
47c	1.043	0.362	7.448	0.08145	0.0288	0.0099	303.227	0.9638	0.044	7.775	0.022
64b	1.53	0.41	20	0.1744	0.2181	0.03	138.506	0.634	0.054	2.6397	0.0014
413b	0.82	0.5423	10.11	0.10148	0.0372	0.211	66.262	0.3553	0.1181	13.1	0.3
453b	0.934	0.1938	27.32	0.18479	0.051	0.05	240.503	0.7877	0.0379	20.31	0.47
1647b	1.22	0.97	11.25	0.1276	0.1602	1.52	1107.59	2.7205	0.0581	12.11	0.338